,date,llm_nato,llm_nato_topic,regex_nato
0,1999-12-31 00:01:00,NO,NO,NO
1,1999-12-31 00:02:00,NO,NO,NO
2,2000-01-04 00:00:00,NO,NO,NO
3,2000-01-11 00:00:00,NO,NO,NO
4,2000-01-15 00:00:00,NO,NO,YES
5,2000-01-18 00:00:00,NO,NO,NO
6,2000-01-18 00:00:00,YES,YES,NO
7,2000-01-21 00:00:00,YES,NO,NO
8,2000-01-23 00:00:00,YES,YES,YES
9,2000-01-24 00:00:00,NO,YES,NO
10,2000-01-26 01:00:00,NO,NO,NO
11,2000-01-26 02:00:00,NO,NO,NO
12,2000-01-28 00:00:00,NO,NO,NO
13,2000-01-31 00:00:00,YES,YES,NO
14,2000-02-01 00:00:00,YES,NO,NO
15,2000-02-04 00:00:00,YES,YES,YES
16,2000-02-07 00:00:00,YES,YES,NO
17,2000-02-08 00:00:00,NO,YES,NO
18,2000-02-09 00:00:00,NO,NO,NO
19,2000-02-15 00:00:00,NO,NO,NO
20,2000-02-16 00:00:00,NO,NO,NO
21,2000-02-18 00:01:00,NO,NO,NO
22,2000-02-18 00:02:00,YES,YES,NO
23,2000-02-18 00:03:00,NO,NO,NO
24,2000-02-21 00:00:00,YES,NO,NO
25,2000-02-22 00:00:00,YES,YES,NO
26,2000-02-23 00:00:00,YES,NO,NO
27,2000-02-24 00:00:00,NO,NO,NO
28,2000-02-24 00:00:00,NO,NO,NO
29,2000-02-25 00:00:00,YES,YES,NO
30,2000-02-25 00:00:00,NO,NO,NO
31,2000-02-27 00:00:00,YES,YES,NO
32,2000-02-28 00:00:00,NO,NO,NO
33,2000-03-03 00:10:00,NO,NO,NO
34,2000-03-03 14:16:00,YES,YES,NO
35,2000-03-03 14:19:00,NO,NO,NO
36,2000-03-05 14:26:00,NO,YES,YES
37,2000-03-10 14:32:00,YES,NO,NO
38,2000-03-11 00:00:00,NO,NO,NO
39,2000-03-13 14:35:00,NO,NO,NO
40,2000-03-13 14:38:00,NO,YES,NO
41,2000-03-13 14:42:00,NO,NO,NO
42,2000-03-15 00:01:00,NO,NO,NO
43,2000-03-15 00:02:00,YES,NO,NO
44,2000-03-15 00:03:00,NO,NO,NO
45,2000-03-16 15:05:00,NO,NO,NO
46,2000-03-18 00:01:00,NO,YES,NO
47,2000-03-18 15:08:00,NO,NO,NO
48,2000-03-20 15:11:00,NO,YES,NO
49,2000-03-21 00:00:00,NO,YES,NO
50,2000-03-22 00:00:00,YES,YES,NO
51,2000-03-24 15:14:00,NO,NO,NO
52,2000-03-26 15:16:00,NO,NO,NO
53,2000-03-27 15:19:00,NO,NO,NO
54,2000-03-31 00:01:00,NO,NO,NO
55,2000-03-31 15:22:00,NO,NO,NO
56,2000-04-13 00:00:00,NO,NO,NO
57,2000-04-14 01:00:00,YES,YES,NO
58,2000-04-14 02:00:00,NO,YES,NO
59,2000-04-15 00:00:00,NO,YES,NO
60,2000-04-17 00:00:00,YES,YES,NO
61,2000-04-17 00:00:00,YES,YES,NO
62,2000-04-19 00:00:00,NO,NO,NO
63,2000-04-21 00:00:00,NO,NO,NO
64,2000-04-21 00:00:00,NO,YES,NO
65,2000-05-06 00:00:00,YES,NO,NO
66,2000-05-07 00:01:00,NO,NO,NO
67,2000-05-07 00:02:00,NO,NO,NO
68,2000-05-07 00:03:00,NO,NO,NO
69,2000-05-09 00:01:00,NO,NO,NO
70,2000-05-09 00:02:00,NO,NO,NO
71,2000-05-15 00:00:00,NO,NO,NO
72,2000-05-17 00:01:00,NO,NO,NO
73,2000-05-17 00:02:00,YES,NO,NO
74,2000-05-19 00:00:00,NO,NO,NO
75,2000-05-22 00:00:00,NO,NO,NO
76,2000-05-22 00:00:00,YES,NO,NO
77,2000-05-23 00:00:00,NO,NO,NO
78,2000-05-26 00:00:00,NO,NO,NO
79,2000-05-27 00:00:00,NO,NO,NO
80,2000-05-27 00:00:00,YES,NO,NO
81,2000-05-29 00:00:00,NO,NO,NO
82,2000-05-30 00:00:00,NO,NO,NO
83,2000-06-02 00:00:00,YES,YES,YES
84,2000-06-04 00:00:00,YES,YES,NO
85,2000-06-05 00:00:00,YES,YES,YES
86,2000-06-06 00:01:00,NO,NO,NO
87,2000-06-06 00:02:00,NO,NO,NO
88,2000-06-09 00:00:00,NO,YES,NO
89,2000-06-11 00:00:00,YES,YES,YES
90,2000-06-12 00:00:00,NO,NO,NO
91,2000-06-14 00:00:00,NO,YES,YES
92,2000-06-14 00:00:00,YES,YES,NO
93,2000-06-16 00:00:00,NO,NO,NO
94,2000-06-17 00:00:00,NO,NO,NO
95,2000-06-17 00:00:00,NO,NO,NO
96,2000-06-19 00:00:00,YES,NO,NO
97,2000-06-29 00:00:00,NO,NO,NO
98,2000-07-04 00:00:00,NO,NO,NO
99,2000-07-05 00:01:00,NO,NO,NO
100,2000-07-05 00:02:00,NO,NO,NO
101,2000-07-05 00:03:00,NO,NO,NO
102,2000-07-06 00:00:00,NO,YES,NO
103,2000-07-08 00:00:00,NO,NO,NO
104,2000-07-11 00:00:00,NO,YES,NO
