source_doc_id,date,sentence,found_term,accompanying_terms
17,2012-05-15 18:00:00,"Only China, Germany and the Netherlands have higher figures.",china,[]
52,2012-06-05 02:00:00,"I am pleased to have this opportunity on the eve of my state visit to China and the Shanghai Cooperation Organisation summit to address the millions of readers of one of the world’s most influential newspapers, Renmin Ribao.",china,[]
52,2012-06-05 02:00:00,"I value this chance to share my views on the future of our countries’ partnership and the role Russian-Chinese relations play in today’s world, which is in the midst of complex transformation, faces big global and regional security challenges, attempts to dilute the principles of international law, and economic and financial upheaval.",chinese,['russian']
52,2012-06-05 02:00:00,The main thing is that all clear-headed politicians and experts in economics and international relations realise that it is not possible to set the global agenda today behind Russia’s and China’s backs and without taking their interests into account.,china,[]
52,2012-06-05 02:00:00,"In this context, we are aware of our common responsibility for the Russian-Chinese partnership’s long-term development and the importance of our common efforts within the United Nations and other multilateral organisations and regional bodies.",chinese,['russian']
52,2012-06-05 02:00:00,"We therefore have high hopes for the intensive programme of meetings we have planned with the Chinese leadership, and we also hope for fruitful work at the upcoming Shanghai Cooperation Organisation summit that will conclude China’s successful presidency of this organisation.",china,[]
52,2012-06-05 02:00:00,* * Russian-Chinese relations have been deservedly called an example of the new type of relations between states.,chinese,['russian']
52,2012-06-05 02:00:00,Russian-Chinese bilateral trade reached the record mark of $83.5 billion in 2011.,chinese,['russian']
52,2012-06-05 02:00:00,"They offer China more reliable and diversified energy supplies for its domestic needs, and offer Russia the chance to open up new export routes to the fast-growing Asia-Pacific region.",china,[]
52,2012-06-05 02:00:00,"Among the results already attained, I note the launch of the Russian-Chinese oil pipeline that delivered 15 million tons of oil last year, and the conclusion of a long-term contract – 25 years – for electricity supplies to China.",china,['russian']
52,2012-06-05 02:00:00,"Russia also increased its coal exports to China to 10.5 million tons in 2011, and have plans for joint development of coal deposits.",china,[]
52,2012-06-05 02:00:00,I hope that we will soon begin large-scale deliveries of Russian gas to China.,china,[]
52,2012-06-05 02:00:00,"Russia took part in building the first section of the Tianwan Nuclear Power Plant, which the stress tests results show to be the safest in China.",china,[]
52,2012-06-05 02:00:00,"Last year, our specialists helped to launch China’s first fast-neutron experimental reactor, thus making China the fourth country, after Russia, Japan and France, to possess this technology.",china,[]
52,2012-06-05 02:00:00,"We hope to continue our cooperation on building the Tianwan power plant’s second and subsequent sections, and to take part in building other energy sector facilities in China.",china,[]
52,2012-06-05 02:00:00,"Now we are holding the Year of Russian Tourism in China, and next year our attention will be on the Chinese Tourism Year in Russia.",china,[]
52,2012-06-05 02:00:00,"Russia and China share very similar positions on all of these issues, positions based on the principles of responsibility, commitment to the basic values of international law, and unconditional mutual respect for each other’s interests.",china,[]
