source_doc_id,date,sentence,found_term,accompanying_terms,zs_base_label,zs_base_score,zs_syn_label,zs_syn_score,gemini_classification_1,gemini_classification_2,manual_classification
3932,2019-12-20 17:00:00,"The fact that Poland expressed its appetite once it felt the hour for the division of the spoils was coming, could not have come as a surprise to those who were aware of the intentions of Polish Foreign Minister Beck, who had displayed an increasing caution about Germany and was fully informed of the designs of Hitler’s leaders.",poland,[],partner,0.702610611915588,adversary,0.611747086048126,enemy,enemy,enemy
1238,2014-11-05 16:10:00,"But what did Poland itself do, when the Germans invaded Czechoslovakia?",poland,['itself'],enemy,0.684295237064362,adversary,0.865851700305939,enemy,enemy,enemy
910,2014-03-04 15:40:00,"As we all know they were trained at special bases in neighbouring states: in Lithuania, Poland and in Ukraine itself too.",poland,[],partner,0.926949262619019,ally,0.665182232856751,enemy,enemy,neutral
4740,2022-02-21 22:35:00,"In the process, he gave Poland part of what was traditionally German land as compensation, and in 1954, Khrushchev took Crimea away from Russia for some reason and also gave it to Ukraine.",poland,[],partner,0.793566405773163,adversary,0.692364871501923,enemy,neutral,neutral
2004,2016-06-07 18:20:00,"With regard to Poland not renewing the gas contract with us, our partners — economic agents at the corporate level — have not said anything on that account yet.",poland,[],partner,0.935437142848968,adversary,0.604857444763184,partner,partner,enemy
3932,2019-12-20 17:00:00,"This is an excerpt from a conversation between Polish Deputy Foreign Minister Jan Szembek and Hermann Goering about Polish-Soviet relations of November 5, 1937.",polish,[],partner,0.735360860824585,adversary,0.752745985984802,neutral,neutral,neutral
2519,2017-05-31 08:00:00,"The missile defence facilities in Europe – in Poland and Romania – would not have been built, which, undoubtedly, creates a threat to our strategic nuclear forces and disrupts the strategic balance – an extremely dangerous development for international security.",poland,[],partner,0.51555198431015,adversary,0.811864197254181,enemy,enemy,enemy
3913,2019-12-10 02:20:00,"By the way, as far as I know, the other [national minority] schools – Hungarian, Romanian and Polish – are to start the process in 2023.",polish,[],partner,0.911224067211151,ally,0.574266970157623,neutral,neutral,partner
4477,2021-07-12 17:00:00,"After the partitions of the Polish-Lithuanian Commonwealth, the Russian Empire regained the western Old Russian lands, with the exception of Galicia and Transcarpathia, which became part of the Austrian – and later Austro-Hungarian – Empire.",polish,[],partner,0.772758066654205,adversary,0.61682790517807,neutral,neutral,neutral
3926,2019-12-19 16:20:00,But the Poles did the same.,poles,[],partner,0.947968780994415,ally,0.77449631690979,enemy,enemy,neutral
4410,2021-05-18 11:25:00,"Russian-Polish ties could certainly be more meaningful and productive, especially since we are neighbours in the Baltic region.",polish,['russian'],partner,0.946356475353241,ally,0.77878600358963,partner,partner,partner
1266,2014-11-19 14:00:00,We share many centuries of common history with the Republic of Poland.,poland,[],partner,0.961715221405029,ally,0.93057519197464,neutral,partner,partner
4124,2020-06-19 00:00:00,"Even under pressure from their Western allies, the Polish leadership rejected the idea of joint action with the Red Army to fight against the Wehrmacht.",polish,[],enemy,0.581222832202911,adversary,0.642462134361267,enemy,enemy,enemy
1990,2016-05-27 23:30:00,The same will be done with regard to Poland.,poland,[],partner,0.832737386226654,ally,0.681280970573425,neutral,neutral,neutral
3932,2019-12-20 17:00:00,He demanded a clear and unambiguous answer from the Poles as to whose side they are on in peace and in war.,poles,[],partner,0.611154735088348,adversary,0.732734620571137,enemy,enemy,neutral
3932,2019-12-20 17:00:00,"But I think the fact remains that it was Nazi Germany that invaded first Poland on September 1, 1939, and then the Soviet Union on June 22, 1941.",poland,['first'],enemy,0.89472907781601,adversary,0.888677954673767,neutral,neutral,enemy
4235,2020-10-29 16:20:00,"Chile, for example, or Poland, our neighbour, are known to use these tools.",poland,['neighbour'],partner,0.982397675514221,ally,0.911226332187653,partner,partner,partner
4124,2020-06-19 00:00:00,"The Nazi leader even prompted and advised that Poland started to act “only after the Germans occupy the Sudetes…” (Document No. 1) Poland was aware that without Hitler’s support, its annexationist plans were doomed to fail.",poland,[],partner,0.494703769683838,adversary,0.655002355575562,enemy,enemy,enemy
4754,2022-03-05 16:35:00,"Do we support those who killed Russians, Jews, and Poles during the war?",poles,[],enemy,0.603629887104034,adversary,0.820450007915497,neutral,partner,neutral
3124,2018-06-20 17:10:00,The Polish team is made up of talented players and is a strong team.,polish,[],partner,0.932430028915405,ally,0.898810625076294,partner,partner,partner
