source_doc_id,date,sentence,found_term,accompanying_terms,zs_base_label,zs_base_score,zs_syn_label,zs_syn_score
2124,2016-09-05 17:20:00,"We cannot be 100 percent certain, but we are continuing our dialogue on these matters, on Syria, with our Turkish partners and with our American partners.",syria,[],partner,0.9577893018722534,ally,0.8877381682395935
2838,2017-12-11 13:00:00,"By helping the people of Syria to maintain their statehood, to fight off attacks by terrorists, you have inflicted a devastating blow to those who have directly, brazenly and openly threatened our country.",syria,[],partner,0.8646731376647949,ally,0.6510884761810303
3056,2018-05-24 22:20:00,"Regarding Syria, it is a very complicated matter.",syria,[],partner,0.6225879192352295,adversary,0.703822910785675
1646,2015-09-28 19:25:00,We think it’s a big mistake to refuse to cooperate with the Syrian authorities and government forces who valiantly fight terrorists on the ground.,syria,[],partner,0.8350940942764282,adversary,0.484096348285675
2807,2017-11-22 19:00:00,ISIS bases in Syria and Iraq have mostly been destroyed and a consensus with regard to fighting terrorism has been reached in the region.,syria,[],enemy,0.6690854430198669,adversary,0.5982875227928162
2986,2018-04-04 16:20:00,"We have agreed to expand the entire range of our trilateral cooperation in Syria, primarily within the framework of the Astana process, which has proved its effectiveness more than once.",syria,[],partner,0.909542441368103,ally,0.7831501960754395
1930,2016-04-21 14:00:00,"Thanks to our Aerospace Forces, the Syrian army has seized the strategic initiative and the terrorist groups have suffered heavy losses.",syria,[],partner,0.865934431552887,ally,0.66465824842453
1627,2015-09-15 12:30:00,The scope of the organisation’s work has reached far beyond the borders of Iraq and Syria.,syria,[],partner,0.6826238036155701,adversary,0.5451902747154236
2586,2017-07-06 14:30:00,"I would like to note that Russian weapons have demonstrated reliability and wide-ranging functionality during the anti-terrorist operation in Syria, something we have discussed.",syria,[],partner,0.8756334781646729,ally,0.7540544271469116
4142,2020-07-01 14:30:00,"Moreover, new sanctions have been imposed aimed, obviously, at suffocating the Syrian Arab Republic economically.",syria,[],enemy,0.5714306831359863,adversary,0.9331845641136168
2986,2018-04-04 16:20:00,"We also agreed to consolidate our efforts on the post-conflict recovery of Syria, primarily, the construction of social and infrastructure facilities.",syria,[],partner,0.910921573638916,ally,0.6171293258666992
1816,2016-01-25 16:30:00,"You know, we are not going to meddle in any way in the state structure, in resolving problems standing before Syria or other nations in the region, which you just mentioned.",syria,[],neutral,0.936050832271576,unbiased,0.8365893363952637
2806,2017-11-22 18:40:00,This is the goal of the Russia-supported initiative to convene the Syrian National Dialogue Congress here in Sochi.,syria,[],partner,0.9846392273902892,ally,0.9289274215698242
3191,2018-08-12 15:20:00,"The second one is how Iran, Russia and Turkey cooperate in establishing peace and security in Syria.",syria,[],partner,0.9788141250610352,ally,0.9513664841651917
1909,2016-04-07 17:00:00,Our mission was above all to bolster Syria’s statehood and support the legitimate government.,syria,[],partner,0.85843425989151,ally,0.7156813740730286
1538,2015-06-29 13:10:00,"We know the difficult situation in Syria and how it is developing, particularly as concerns the attacks by international terrorism.",syria,[],partner,0.4751164615154266,adversary,0.798823356628418
2806,2017-11-22 18:40:00,"For six years, the Syrian people fought terrorism that was funded and supplied with weapons and intelligence by foreign nations, and it needed friendly nations and governments to aid it in this unequal struggle.",syria,[],partner,0.7452431321144104,ally,0.8137067556381226
1640,2015-09-22 18:40:00,Both our nations are also concerned about the situation in Syria.,syria,[],partner,0.9472148418426514,ally,0.6868726015090942
573,2013-06-21 19:00:00,"Regarding the question on Syria and the conference on Syria, I think we should take the results of the G8’s work and make a real effort now to build the framework conditions for reaching the needed decisions.",syria,[],partner,0.7952951788902283,adversary,0.457923948764801
4124,2020-06-19 00:00:00,I see our servicemen fighting international terrorism in the North Caucasus and fighting to the bitter end in Syria.,syria,[],partner,0.8169751763343811,adversary,0.5498650074005127
