source_doc_id,date,sentence,found_term,accompanying_terms
45,2012-06-01 17:00:00,"We discussed the problems the international community is encountering now in Syria, the growing violence there, and we also discussed the Iranian nuclear programme.",syria,['violence']
45,2012-06-01 17:00:00,Question (re-translated): US Secretary of State Hillary Clinton said that Russia supports Bashar al-Assad’s regime and thereby does not allow for political changes in Syria.,syria,[]
45,2012-06-01 17:00:00,"Do you perceive a possibility that, if Kofi Annan’s plan is unsuccessful, Russia could agree with the sanctions against Syria within the Security Council?",syria,[]
45,2012-06-01 17:00:00,"We have friendly relations with Syria spanning many years, but we do not support either of the sides generating the threat of a civil war.",syria,[]
45,2012-06-01 17:00:00,"<…> Question (re-translated): Mr President, perhaps I did not fully understand what steps you want to take with regard to Syria: as a global power, how do you want to use your influence?",syria,[]
45,2012-06-01 17:00:00,"As far as possible instruments that we could use to resolve the Syrian problem are concerned, we are not going to apply any instruments unilaterally.",syria,[]
45,2012-06-01 17:00:00,"Naturally, we will be in contact with President al-Assad and Syrian leadership, we will be in contact with regional powers, Arab nations that are involved in the conflict in one way or another, and we will do everything possible in order to stop the conflict and move on to political means of settlement.",syria,[]
46,2012-06-01 23:30:00,<…> Question (re-translated): You talked about UN sanctions against Syria.,syria,[]
46,2012-06-01 23:30:00,The main thing we must do is prevent the crisis from escalating in line with the worst-case scenario and we must avert a civil war in Syria.,syria,[]
46,2012-06-01 23:30:00,We agreed to continue our consultations and mutual efforts to achieve reconciliation in Syria and to reach conflict settlement there through political means.,syria,[]
46,2012-06-01 23:30:00,"And the second question for President Hollande: what political solution is possible for the situation in Syria, and how much time do you think the so-called Annan Plan needs to work?",syria,[]
46,2012-06-01 23:30:00,"We have very good and long-standing relations with Syria, but when I hear rumours that Russia has certain special interests there, I want to tell you that this is a complete fallacy.",syria,[]
46,2012-06-01 23:30:00,"The only thing we care about with regards to Syria is the possible radicalization of the situation, having it spiral out of control, and the death of civilians.",syria,[]
46,2012-06-01 23:30:00,"Therefore, we are suggesting that we act in a careful, balanced manner, at least here in Syria.",syria,[]
46,2012-06-01 23:30:00,"Mr President, is it possible for you to accept what my colleague just described, namely a Syrian regime without Bashar al-Assad, bearing in mind that you really do have strategic interests in Syria?",syria,[]
46,2012-06-01 23:30:00,Everything that is acceptable to the Syrian people is acceptable to us.,syria,[]
46,2012-06-01 23:30:00,But we cannot resolve issues concerning the form of government or the country's leadership for the Syrian people.,syria,[]
46,2012-06-01 23:30:00,You cannot do so and this is also impossible in the Syrian case.,syria,[]
46,2012-06-01 23:30:00,That is the goal of our policy with regards to Syria.,syria,[]
