source_doc_id,date,sentence,found_term
17,2012-05-15 18:00:00,"It is enough to say that in the last year, the growth rates for turnover between Russia and Ukraine have been much higher than the growth rate for economic ties between Russia and other nations.",ukraine
17,2012-05-15 18:00:00,"Two years ago, Ukraine ranked fifth in terms of turnover with Russia, but last year’s data puts it in fourth place.",ukraine
46,2012-06-01 23:30:00,Question (re-translated): I would like to know if you talked about Ukraine and Yulia Tymoshenko.,ukraine
46,2012-06-01 23:30:00,The [European] football championship will start very soon in Ukraine.,ukraine
46,2012-06-01 23:30:00,"Before these contracts were signed our lawyers carefully analysed all relevant Russian, international, and Ukrainian legislation.",ukrainian
46,2012-06-01 23:30:00,"We would never sign contracts that are contrary to the laws of the counterparty, in this case those of Ukraine.",ukraine
49,2012-06-04 14:30:00,"In actual fact, even after Russia joins the WTO, the level of customs protection will be a lot higher than it is in Ukraine, say.",ukraine
49,2012-06-04 14:30:00,"This worries us more than WTO accession itself, given that Ukraine is a big trade and economic partners.",ukraine
107,2012-07-09 14:30:00,"Colleagues, As you know, today, Russia is observing a national day of mourning for those killed in the south of our country and in the road accident in Ukraine.",ukraine
107,2012-07-09 14:30:00,We regret greatly that fraternal Ukraine has not joined us in this process.,ukraine
107,2012-07-09 14:30:00,"The most independent and objective expert analyses show that Ukraine would indisputably stand to benefit from joining this group, as indeed would the whole integration process.",ukraine
107,2012-07-09 14:30:00,"It would be advantageous for all in economic and social terms, for Ukraine itself, and for the entire group.",ukraine
107,2012-07-09 14:30:00,"As I just said, the grouping of Russia, Kazakhstan and Belarus gives us a common market of around 170 million consumers, but adding Ukraine would take us to 210–220 million consumers.",ukraine
107,2012-07-09 14:30:00,But we fully realise of course that matters such as integration and joining integration organisations are the sovereign choice of Ukraine’s people and Ukraine’s state headed by the current leadership.,ukraine
111,2012-07-12 19:00:00,Ukraine occupies approximately 6.2% of Russia's trade.,ukraine
111,2012-07-12 19:00:00,"I believe Ukraine is in the fifth place among our major trade partners, and we will do our best to make a quick recovery from the minor setback we experienced in the first quarter of 2012, as you have said.",ukraine
112,2012-07-12 21:30:00,The meeting of the Russian-Ukrainian Interstate Commission was constructive and productive.,ukrainian
112,2012-07-12 21:30:00,"Our cooperation is very extensive – our trade is over fifty billion US dollars (the President of Ukraine already mentioned this), and we have every opportunity to increase it manifold in the coming years.",ukraine
112,2012-07-12 21:30:00,"Indeed, I want to confirm that Nizhny Novgorod is planned to host the next [Russian-Ukrainian Interregional Economic] Forum this autumn, which has already become a tradition.",ukrainian
112,2012-07-12 21:30:00,"We briefed our colleagues, and I will later talk with Mr Yanukovych in more detail about the integration processes in the post-Soviet space within the associations in which Ukraine does not yet participate.",ukraine
112,2012-07-12 21:30:00,"I know that this fall, Ukraine will hold Days of Russian Education and Culture, and within the framework of these events, presentations will be made on Russia’s leading universities and research schools.",ukraine
112,2012-07-12 21:30:00,"Russia wants it, Ukraine wants it, and so do the other post-Soviet region countries.",ukraine
112,2012-07-12 21:30:00,"We have agreements at government and presidential level to send the impulse to our companies, Gazprom and NK Ukraine [Alliance Ukraine oil company], to get them to examine all possible options for improving their energy sector relations, including in the gas sector.",ukraine
112,2012-07-12 21:30:00,"[Prime Minister of Ukraine Nikolai Azarov] knows, as he was involved in these negotiations 5–7 years ago, and he knows what a complex process this is.",ukraine
112,2012-07-12 21:30:00,"We are in constant dialogue with our Ukrainian partners of course, and they know what is going on and can assess the situation.",ukrainian
112,2012-07-12 21:30:00,"Going back to the last question, on gas prices, since 2010, the discount that our Ukrainian partners have received has resulted in a saving of $8 billion.",ukrainian
112,2012-07-12 21:30:00,"Though our partners might dispute it, the price is completely comparable to the price at which we sell gas to Ukraine’s neighbours.",ukraine
112,2012-07-12 21:30:00,"We spoke about another issue too, incidentally, and drew attention to the fact that our Ukrainian friends and partners pushed us towards signing a free trade zone agreement between the CIS countries.",ukrainian
112,2012-07-12 21:30:00,Ukraine was always the leader in deciding this matter.,ukraine
112,2012-07-12 21:30:00,"In the end, after being pushed along by Ukraine’s President and Prime Minister, we signed and ratified this agreement, while Ukraine has yet to do so.",ukraine
113,2012-07-16 20:30:00,"As you know, more than 20 restrictive measures are in place with regard to Russian metallurgical products in various countries including the US, EU, Mexico, Turkey, Indonesia, China, Thailand and, regrettably, Ukraine.",ukraine
159,2012-08-25 16:00:00,"As you know, Russia has become a full member of the World Trade Organisation, which Ukraine joined some time ago.",ukraine
159,2012-08-25 16:00:00,"I am confident that all of this will allow us to expand trade and economic ties, which already have great importance both for Russia and Ukraine.",ukraine
159,2012-08-25 16:00:00,I think it is no secret that the Russian Federation is the biggest market for Ukrainian goods.,ukrainian
159,2012-08-25 16:00:00,I do not know the exact figures but about 80% of Ukraine’s agricultural exports are sold to Russia.,ukraine
