source_doc_id,date,sentence,found_term,accompanying_terms,zs_base_label,zs_base_score,zs_syn_label,zs_syn_score
832,2013-12-17 18:30:00,"As you know, this was originally the Ukrainian President’s initiative.",ukrainian,[],partner,0.8819035887718201,ally,0.8120850920677185
4711,2022-02-01 20:05:00,This is not what Ukrainian officials say in public.,ukrainian,[],partner,0.5683218836784363,adversary,0.4432216286659241
4995,2022-10-27 20:55:00,Why did they need the 2014 coup d’état in Ukraine in the first place?,ukraine,[],partner,0.6795003414154053,adversary,0.8444528579711914
1476,2015-05-10 13:50:00,"It is therefore a good thing that we have this chance today to discuss our bilateral relations, the ties between Russia and the EU, and discuss too, of course, matters concerning Ukraine’s territorial integrity.",ukraine,[],partner,0.8776792883872986,ally,0.5747584104537964
1134,2014-08-15 17:15:00,"These sanctions were imposed because of the Ukrainian crisis, and so we discussed this crisis at length and in detail today.",ukrainian,[],partner,0.6642767190933228,adversary,0.7266749739646912
3080,2018-06-04 22:00:00,"Conversely, the Ukrainian side, which is a party interested in the results of the investigation, has access to it.",ukrainian,[],partner,0.944530427455902,ally,0.567431628704071
4507,2021-08-20 18:00:00,"Unfortunately, Ukrainian service personnel are dying on the line of contact.",ukrainian,[],partner,0.5016069412231445,adversary,0.7269167900085449
622,2013-07-27 17:30:00,"By 1960, industrial output in Ukraine had increased more than 3.6-fold compared to 1940.",ukraine,[],partner,0.8827283382415771,ally,0.6021860241889954
1646,2015-09-28 19:25:00,"Such steps would guarantee that Ukraine will develop as a civilized state, and a vital link in creating a common space of security and economic cooperation, both in Europe and in Eurasia.",ukraine,[],partner,0.9156869053840636,ally,0.7580660581588745
4882,2022-07-19 23:55:00,Ukraine suddenly announced that it was going to close one of the two routes on its territory.,ukraine,[],partner,0.6458835005760193,adversary,0.7778838872909546
3346,2018-11-15 12:20:00,"I hope that the people who lead the country in the future, no matter who they are (by the way, we will respect the choice of the Ukrainian people in any case; we will work with everyone), will come to the conclusion that there can only be a peaceful way to settlement and the Minsk Agreements must be honoured.",ukrainian,[],partner,0.6892725229263306,ally,0.3787753283977508
1759,2015-12-09 17:45:00,"Secondly, once we are able to cover in full the energy supply that Crimea was receiving from Ukraine, and have all four sections in operation, we cannot have on-going contracts for energy supplies from Ukraine to Crimea if they are no longer needed.",ukraine,[],partner,0.8073298335075378,ally,0.4774301946163177
833,2013-12-19 17:00:00,"We proceed from the fact that whoever wins this battle and however the situation unfolds in the future, we will still work with Ukraine and cooperate with it in such a way and such format that is the most interesting and acceptable for the Ukrainian people.",ukraine,[],partner,0.5400579571723938,adversary,0.5521432161331177
3297,2018-10-18 17:50:00,"Terrorist attacks and assassinations of people elected by the population to administer these regions are, on the part of the Ukrainian secret services, the worst method to establish relations with these territories.",ukrainian,[],enemy,0.6396098136901855,adversary,0.9063702821731568
1043,2014-06-06 21:00:00,"But there is one fact that all of us, including our European friends and partners, must take into account: the risk of non-payment remains very high, and if somebody thinks that they can resolve the problems of Ukrainian energy supply through reverse supplies, they are deeply mistaken.",ukrainian,[],partner,0.8935759663581848,ally,0.5787805318832397
1669,2015-10-13 15:00:00,"At the same time, we are told about Ukrainian domestic policy limitations.",ukrainian,[],partner,0.8525158762931824,ally,0.4444965422153473
4995,2022-10-27 20:55:00,"What was happening and what is happening now, say, as related to Ukraine, these are not changes that are happening just now or that began after the launch of Russia’s special military operation, no.",ukraine,[],partner,0.5165961384773254,adversary,0.7183495163917542
2187,2016-10-12 16:30:00,You just mentioned the crisis in Ukraine.,ukraine,[],partner,0.7395115494728088,adversary,0.6305447816848755
1232,2014-10-30 16:15:00,"Regarding the complicated processes underway in Ukraine, in Novorossiya and Donbass.",ukraine,[],partner,0.6254158616065979,adversary,0.675707221031189
3632,2019-06-13 07:00:00,"It will not hide behind anti-Russian fabrications and ideas in order to evade internal Ukrainian problems, in the economy and social sphere above all.",ukrainian,[],enemy,0.4685989916324615,adversary,0.5050763487815857
