source_doc_id,date,sentence,found_term,accompanying_terms,zs_base_label,zs_base_score,zs_syn_label,zs_syn_score,gemini_classification_1,gemini_classification_2,manual_classification
832,2013-12-17 18:30:00,"As you know, this was originally the Ukrainian President’s initiative.",ukrainian,[],partner,0.88190358877182,ally,0.812085092067719,partner,neutral,neutral
4711,2022-02-01 20:05:00,This is not what Ukrainian officials say in public.,ukrainian,[],partner,0.568321883678436,adversary,0.443221628665924,neutral,neutral,enemy
4995,2022-10-27 20:55:00,Why did they need the 2014 coup d’état in Ukraine in the first place?,ukraine,[],partner,0.679500341415405,adversary,0.844452857971191,enemy,enemy,enemy
1476,2015-05-10 13:50:00,"It is therefore a good thing that we have this chance today to discuss our bilateral relations, the ties between Russia and the EU, and discuss too, of course, matters concerning Ukraine’s territorial integrity.",ukraine,[],partner,0.877679288387299,ally,0.574758410453796,partner,neutral,neutral
1134,2014-08-15 17:15:00,"These sanctions were imposed because of the Ukrainian crisis, and so we discussed this crisis at length and in detail today.",ukrainian,[],partner,0.664276719093323,adversary,0.726674973964691,neutral,neutral,neutral
3080,2018-06-04 22:00:00,"Conversely, the Ukrainian side, which is a party interested in the results of the investigation, has access to it.",ukrainian,[],partner,0.944530427455902,ally,0.567431628704071,partner,enemy,neutral
4507,2021-08-20 18:00:00,"Unfortunately, Ukrainian service personnel are dying on the line of contact.",ukrainian,[],partner,0.501606941223145,adversary,0.726916790008545,neutral,partner,neutral
622,2013-07-27 17:30:00,"By 1960, industrial output in Ukraine had increased more than 3.6-fold compared to 1940.",ukraine,[],partner,0.882728338241577,ally,0.602186024188995,neutral,neutral,neutral
1646,2015-09-28 19:25:00,"Such steps would guarantee that Ukraine will develop as a civilized state, and a vital link in creating a common space of security and economic cooperation, both in Europe and in Eurasia.",ukraine,[],partner,0.915686905384064,ally,0.758066058158875,partner,partner,partner
4882,2022-07-19 23:55:00,Ukraine suddenly announced that it was going to close one of the two routes on its territory.,ukraine,[],partner,0.645883500576019,adversary,0.777883887290955,neutral,enemy,enemy
3346,2018-11-15 12:20:00,"I hope that the people who lead the country in the future, no matter who they are (by the way, we will respect the choice of the Ukrainian people in any case; we will work with everyone), will come to the conclusion that there can only be a peaceful way to settlement and the Minsk Agreements must be honoured.",ukrainian,[],partner,0.689272522926331,ally,0.378775328397751,partner,partner,partner
1759,2015-12-09 17:45:00,"Secondly, once we are able to cover in full the energy supply that Crimea was receiving from Ukraine, and have all four sections in operation, we cannot have on-going contracts for energy supplies from Ukraine to Crimea if they are no longer needed.",ukraine,[],partner,0.807329833507538,ally,0.477430194616318,neutral,neutral,neutral
833,2013-12-19 17:00:00,"We proceed from the fact that whoever wins this battle and however the situation unfolds in the future, we will still work with Ukraine and cooperate with it in such a way and such format that is the most interesting and acceptable for the Ukrainian people.",ukraine,[],partner,0.540057957172394,adversary,0.552143216133118,partner,partner,partner
3297,2018-10-18 17:50:00,"Terrorist attacks and assassinations of people elected by the population to administer these regions are, on the part of the Ukrainian secret services, the worst method to establish relations with these territories.",ukrainian,[],enemy,0.639609813690186,adversary,0.906370282173157,enemy,enemy,enemy
1043,2014-06-06 21:00:00,"But there is one fact that all of us, including our European friends and partners, must take into account: the risk of non-payment remains very high, and if somebody thinks that they can resolve the problems of Ukrainian energy supply through reverse supplies, they are deeply mistaken.",ukrainian,[],partner,0.893575966358185,ally,0.57878053188324,enemy,enemy,enemy
1669,2015-10-13 15:00:00,"At the same time, we are told about Ukrainian domestic policy limitations.",ukrainian,[],partner,0.852515876293182,ally,0.444496542215347,neutral,neutral,neutral
4995,2022-10-27 20:55:00,"What was happening and what is happening now, say, as related to Ukraine, these are not changes that are happening just now or that began after the launch of Russia’s special military operation, no.",ukraine,[],partner,0.516596138477325,adversary,0.718349516391754,neutral,neutral,neutral
2187,2016-10-12 16:30:00,You just mentioned the crisis in Ukraine.,ukraine,[],partner,0.739511549472809,adversary,0.630544781684876,neutral,neutral,neutral
1232,2014-10-30 16:15:00,"Regarding the complicated processes underway in Ukraine, in Novorossiya and Donbass.",ukraine,[],partner,0.625415861606598,adversary,0.675707221031189,neutral,enemy,neutral
3632,2019-06-13 07:00:00,"It will not hide behind anti-Russian fabrications and ideas in order to evade internal Ukrainian problems, in the economy and social sphere above all.",ukrainian,[],enemy,0.468598991632462,adversary,0.505076348781586,enemy,enemy,enemy
